user_id	ad__cr_id	label	gender	fav_cat1	device_os	device_model	version	device_brand	province	media_source	ad__coverimg_weight	ad__position_1_ctr	ad__ctr	ts	price	ad__parent_cr_id	ad__style	context__position_id	fav_cat2	fav_cat3	applist	user_ctr	user_ctr_7days	ctr_cat_2	ctr_cat_3	ctr_cat_4	ctr_cat_6	ctr_cat_7	ctr_cat_9	ctr_cat_13	ctr_cat_21	ctr_cat_10028	ctr_cat_10032
28595974	840477	0	1	14	android_8.1.0	SM-J415F	3.6.0	samsung	4	master_and_trainee_v3	750	0	0.131643633	1556444602	0.001	0	19	5	20	10028	"[""com.lazada.android"", ""com.zing.mp3"", ""com.vn.dic.e.v.ui"", ""com.google.android.apps.docs"", ""com.linecorp.b612.android"", ""com.google.android.gm"", ""com.google.android.youtube"", ""com.epi""]"	0	0	0	0	0	0	0	0	0	0	0	0
28596001	840478	1	1	9	android_5.0.2	SM-G530H	3.5.5	samsung	0	Facebook Ads	750	0	0.131413057	1556442405	0.001	840478	19	5	10045	24	"[""com.google.android.gm"", ""com.zing.mp3"", ""com.google.android.apps.docs"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28596507	840478	0	1	22	android_8.0.0	SM-J400F	3.5.5	samsung	49	Organic	750	0	0.131413057	1556446340	0.001	840478	19	5	2	9	"[""com.zing.mp3"", ""sg.bigo.live"", ""com.garena.game.kgvn"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28597755	840477	0	2	10032	android_7.0	FIRE_V8	3.4.3	DOTPAD	11	master_and_trainee_v3	750	0	0.131643633	1556445865	0.001	0	19	5	23	7	"[""com.google.android.gm"", ""com.google.android.apps.docs"", ""com.google.android.youtube"", ""com.lazada.android"", ""com.garena.game.kgvn"", ""com.tencent.mm""]"	0	0	0	0	0	0	0	0	0	0	0	0
28598734	840478	0	1	10027	android_8.0.0	SM-G570Y	3.4.6	samsung	0	Facebook Ads	750	0	0.131413057	1556450416	0.001	840478	19	5	10034	6	[]	0	0	0	0	0	0	0	0	0	0	0	0
28598734	840477	1	1	10027	android_8.0.0	SM-G570Y	3.4.6	samsung	0	Facebook Ads	750	0	0.131643633	1556449692	0.001	0	19	5	10034	6	[]	0	0	0	0	0	0	0	0	0	0	0	0
28599845	840483	0	1	21	ios_12.2	iPhone8	3.3.2	apple	0	unknow	750	0	0.050178616	1556457001	0.001	840483	19	5	29	24	[]	0	0	0	0	0	0	0	0	0	0	0	0
28601201	840478	0	1	18	android_7.1.1	CPH1801	3.6.0	OPPO	30	orgainc_by_master	750	0	0.131413057	1556456795	0.001	840478	19	5	9	2	"[""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28602000	840477	1	1	23	android_8.0	SM-NOTE9	3.7.2	samsung	32	orgainc_by_master	750	0	0.131643633	1556453685	0.001	0	19	5	20	10028	"[""com.facebook.orca"", ""com.facebook.katana""]"	0	0	0	0	0	0	0	0	0	0	0	0
28602035	840477	0	1	10028	android_8.1.0	LM-Q710(FGN)	3.6.0	LGE	0	Organic	750	0	0.131643633	1556453495	0.001	0	19	5	23	20	"[""com.google.android.gm"", ""com.google.android.apps.docs"", ""com.zing.mp3"", ""com.google.android.youtube"", ""com.google.android.apps.translate"", ""com.ss.android.ugc.trill""]"	0	0	0	0	0	0	0	0	0	0	0	0
28602726	840477	0	1	10032	android_7.0	Redmi Note 4	3.6.0	Xiaomi	2	Facebook Ads	750	0	0.131643633	1556456223	0.001	0	19	5	10024	7	"[""com.mwg.thegioididong"", ""com.lazada.android"", ""ht.nct"", ""com.cgv.cinema.vn"", ""com.google.android.apps.docs"", ""com.google.android.gm"", ""com.google.android.youtube""]"	0	0	0	0	0	0	0	0	0	0	0	0
28603546	840477	0	1	10028	android_5.1.1	A37fw	3.6.0	OPPO	0	master_and_trainee_v3	750	0	0.131643633	1556456112	0.001	0	19	5	7	10032	"[""com.google.android.gm"", ""com.linecorp.b612.android"", ""com.google.android.apps.docs"", ""com.ss.android.ugc.trill"", ""com.google.android.youtube"", ""com.lazada.android""]"	0	0	0	0	0	0	0	0	0	0	0	0
28608712	840416	0	1	8	ios_12.2	iPhone7	3.3.2	apple	54	master_and_trainee_v3	750	0	0.056537774	1556463369	0.001	0	19	5	10032	7	[]	0	0	0	0	0	0	0	0	0	0	0	0
28611507	840391	0	1	4	ios_11.4.1	iPhone7	3.3.2	apple	11	master_and_trainee_v3	750	0	0.038579813	1556498132	0.001	840391	19	5	10045	10024	[]	0	0	0	0	0	0	0	0	0	0	0	0
28611507	840416	0	1	4	ios_11.4.1	iPhone7	3.3.2	apple	11	master_and_trainee_v3	750	0	0.056537774	1556497955	0.001	0	19	5	10045	10024	[]	0	0	0	0	0	0	0	0	0	0	0	0
28589453	840478	0	1	10034	android_9	vivo 1819	3.1.2	vivo	0	Organic	750	0	0.131413057	1556443251	0.001	840478	19	5	10027	29	"[""com.grabtaxi.passenger"", ""com.lazada.android"", ""com.ss.android.ugc.trill"", ""com.zing.mp3"", ""sg.bigo.live"", ""com.google.android.apps.docs"", ""com.linecorp.b612.android"", ""com.google.android.gm"", ""com.google.android.youtube"", ""com.epi""]"	0	0	0	0	0	0	0	0	0	0	0	0
